
 sakuraxls2,     Send dolores,        <Channel name: caseoh_>,       2024-11-07 01:44:01.708614 

 sakuraxls2,     Time to send,        <Channel name: caseoh_>,       2024-11-07 01:44:05.092903 

 sakuraxls2,     Pls send her now,        <Channel name: caseoh_>,       2024-11-07 01:44:13.041985 

 sakuraxls2,     Pls send dolores,        <Channel name: caseoh_>,       2024-11-07 01:44:45.983740 

 sakuraxls2,     Send dolores??????? What r u doing,        <Channel name: caseoh_>,       2024-11-07 01:45:01.060493 

 sakuraxls2,     Send her bro,        <Channel name: caseoh_>,       2024-11-07 01:45:05.779427 

 sakuraxls2,     SEND DOLORESSSSSSS,        <Channel name: caseoh_>,       2024-11-07 01:45:12.413300 

 sakuraxls2,     Why do u deliberately wait,        <Channel name: caseoh_>,       2024-11-07 01:47:59.165948 

 sakuraxls2,     I'm dying casey,        <Channel name: caseoh_>,       2024-11-07 01:48:22.962388 

 sakuraxls2,     Caseypooo,        <Channel name: caseoh_>,       2024-11-07 01:48:28.287627 

 sakuraxls2,     CASEYPOO,        <Channel name: caseoh_>,       2024-11-07 01:48:33.899795 

 sakuraxls2,     What the,        <Channel name: caseoh_>,       2024-11-07 01:48:54.428597 

 sakuraxls2,     Insane,        <Channel name: caseoh_>,       2024-11-07 01:49:01.693868 

 sakuraxls2,     ????? Insane,        <Channel name: caseoh_>,       2024-11-07 01:49:12.125518 

 sakuraxls2,     Why do u not send her,        <Channel name: caseoh_>,       2024-11-07 01:49:38.402442 

 sakuraxls2,     The fact u didn't send her,        <Channel name: caseoh_>,       2024-11-07 01:49:53.274683 

 sakuraxls2,     This is entirely ur fault,        <Channel name: caseoh_>,       2024-11-07 01:50:06.110950 

 sakuraxls2,     Why do u do this,        <Channel name: caseoh_>,       2024-11-07 01:50:30.475804 

 sakuraxls2,     I'm dying,        <Channel name: caseoh_>,       2024-11-07 01:52:59.734879 

 sakuraxls2,     SO MUCHFOODSDDS,        <Channel name: caseoh_>,       2024-11-07 01:54:08.417104 
