
 someones_child2,     JUST FRIENDS THOUGH!!!,        <Channel name: kaicenat>,       2024-11-07 02:46:08.896387 

 someones_child2,     Wtf...,        <Channel name: kaicenat>,       2024-11-07 02:47:29.517463 

 someones_child2,     Heard a bone break,        <Channel name: kaicenat>,       2024-11-07 02:48:05.632316 

 someones_child2,     Ooooooooooo,        <Channel name: kaicenat>,       2024-11-07 02:50:59.121199 

 someones_child2,     Wwwwwwwwww,        <Channel name: kaicenat>,       2024-11-07 02:51:26.624982 

 someones_child2,     WE KNOW,        <Channel name: kaicenat>,       2024-11-07 02:53:22.530903 

 someones_child2,     YouDontSay YouDontSay YouDontSay YouDontSay YouDontSay,        <Channel name: kaicenat>,       2024-11-07 09:00:36.078268 

 someones_child2,     VoteYea VoteYea VoteYea VoteYea VoteYea VoteYea,        <Channel name: kaicenat>,       2024-11-07 09:00:59.926362 

 someones_child2,     SUBtember SUBtember SUBtember SUBtember SUBtember SUBtember SUBtember SUBtember,        <Channel name: kaicenat>,       2024-11-07 09:01:33.661830 

 someones_child2,     LEAVE,        <Channel name: kaicenat>,       2024-11-07 09:03:13.198262 

 someones_child2,     Omg I can hear him,        <Channel name: kaicenat>,       2024-11-07 09:03:36.582684 

 someones_child2,     THOSE THOSE THOSE,        <Channel name: kaicenat>,       2024-11-07 09:03:59.305932 

 someones_child2,     Lay on Kai,        <Channel name: kaicenat>,       2024-11-07 09:04:35.876627 

 someones_child2,     LET'S GO GAMBLING!!,        <Channel name: kaicenat>,       2024-11-07 09:05:16.241416 

 someones_child2,     WHO SAID SHOOT YOUR WEB FLUIDS?!?!?,        <Channel name: kaicenat>,       2024-11-07 09:06:08.029002 

 someones_child2,     BratChat BratChat BratChat BratChat BratChat BratChat BratChat,        <Channel name: kaicenat>,       2024-11-07 09:07:45.917273 

 someones_child2,     BIG STEPpA,        <Channel name: kaicenat>,       2024-11-07 09:08:39.449697 

 someones_child2,     HURRRRRRY,        <Channel name: kaicenat>,       2024-11-07 13:06:43.590271 

 someones_child2,     HE NOT UP HURRY,        <Channel name: kaicenat>,       2024-11-07 13:06:56.456071 

 someones_child2,     DUMP THE WATER DAMMIT,        <Channel name: kaicenat>,       2024-11-07 13:10:28.140073 

 someones_child2,     WHERE IS THE KID?!??!?!,        <Channel name: kaicenat>,       2024-11-07 13:11:52.443192 
