
 briandavidz,     In ancient times, when the elders got tired....they used the elevator,        <Channel name: waterlynn>,       2024-11-07 02:36:41.592255 

 briandavidz,     Hahahaha yes back when we weren't using phones....they walked a lot and got bored and explored :),        <Channel name: waterlynn>,       2024-11-07 02:37:35.210324 

 briandavidz,     Looks fabulous!,        <Channel name: waterlynn>,       2024-11-07 02:38:02.204828 

 briandavidz,     A nice place to just tune out,        <Channel name: waterlynn>,       2024-11-07 02:38:14.513193 

 briandavidz,     At least the hotels maintained the character,        <Channel name: waterlynn>,       2024-11-07 02:38:37.153672 

 briandavidz,     Can you check it out?,        <Channel name: waterlynn>,       2024-11-07 02:38:47.208000 

 briandavidz,     We are the only ones who know you didn't bring anything for an overnight. So it's all good,        <Channel name: waterlynn>,       2024-11-07 02:39:31.534044 

 briandavidz,     Bakery?,        <Channel name: waterlynn>,       2024-11-07 02:40:03.111122 

 briandavidz,     Ohhhh vegetables,        <Channel name: waterlynn>,       2024-11-07 02:40:08.175088 

 briandavidz,     View deck!,        <Channel name: waterlynn>,       2024-11-07 02:40:20.283580 

 briandavidz,     Everyone leaning on that rail.,        <Channel name: waterlynn>,       2024-11-07 02:40:53.481624 

 briandavidz,     Well 11/11 is near.,        <Channel name: waterlynn>,       2024-11-07 02:42:10.976052 

 briandavidz,     Knock knock.  Can I eat here....,        <Channel name: waterlynn>,       2024-11-07 02:42:48.810215 

 briandavidz,     Was about to say!,        <Channel name: waterlynn>,       2024-11-07 02:43:16.383685 

 briandavidz,     It's not dark.....,        <Channel name: waterlynn>,       2024-11-07 02:45:23.315319 

 briandavidz,     Nice that it's been really well maintained,        <Channel name: waterlynn>,       2024-11-07 02:48:22.255781 

 briandavidz,     You must be really rich to have that kind of overlooking view,        <Channel name: waterlynn>,       2024-11-07 02:48:55.660764 

 briandavidz,     Crouching Tiger hidden dragon vibe,        <Channel name: waterlynn>,       2024-11-07 02:49:07.552497 

 briandavidz,     Making sweat pants,        <Channel name: waterlynn>,       2024-11-07 02:49:34.277711 

 briandavidz,     Probably to shout out orders,        <Channel name: waterlynn>,       2024-11-07 02:49:47.991507 

 briandavidz,     True Hong Kong apartments are creatively small,        <Channel name: waterlynn>,       2024-11-07 02:51:26.028698 

 briandavidz,     Wow that sunset view must really be amazing,        <Channel name: waterlynn>,       2024-11-07 02:51:46.347985 

 briandavidz,     Tell them I am milord.,        <Channel name: waterlynn>,       2024-11-07 02:52:01.294067 

 briandavidz,     Auntie is taking 1000 pics,        <Channel name: waterlynn>,       2024-11-07 02:52:28.314477 

 briandavidz,     Are those the ones for bonding.,        <Channel name: waterlynn>,       2024-11-07 02:53:19.927430 

 briandavidz,     Because big feet were frowned upon right?,        <Channel name: waterlynn>,       2024-11-07 02:53:32.464920 
