
 ryapyy,     the big grall locked in this szn,        <Channel name: mongraal>,       2024-11-07 10:37:15.624622 

 ryapyy,     Idk it’s trios all year,        <Channel name: mongraal>,       2024-11-07 10:40:35.692552 

 ryapyy,     there should be one solo one,        <Channel name: mongraal>,       2024-11-07 10:40:41.921478 

 ryapyy,     chat is twi even good,        <Channel name: mongraal>,       2024-11-07 11:36:17.075105 

 ryapyy,     Like how good @exodu3581,        <Channel name: mongraal>,       2024-11-07 11:36:38.852224 

 ryapyy,     @exodu3581 nah like is he a good pro,        <Channel name: mongraal>,       2024-11-07 11:37:29.526909 

 ryapyy,     How much earnings?,        <Channel name: mongraal>,       2024-11-07 11:37:43.181874 

 ryapyy,     fair enuf,        <Channel name: mongraal>,       2024-11-07 11:37:53.095622 

 ryapyy,     I thought he was just some random savage played with,        <Channel name: mongraal>,       2024-11-07 11:38:01.340455 

 ryapyy,     Mongral u going to every go to na again?,        <Channel name: mongraal>,       2024-11-07 11:39:32.878030 

 ryapyy,     at 5 I think,        <Channel name: mongraal>,       2024-11-07 11:40:22.474815 

 ryapyy,     !cc,        <Channel name: mongraal>,       2024-11-07 11:53:17.432084 

 ryapyy,     !lb,        <Channel name: mongraal>,       2024-11-07 11:53:20.829325 

 ryapyy,     it’s at 5,        <Channel name: mongraal>,       2024-11-07 11:53:43.435778 

 ryapyy,     5 Est,        <Channel name: mongraal>,       2024-11-07 11:53:54.478717 

 ryapyy,     5 gmt,        <Channel name: mongraal>,       2024-11-07 11:54:08.225699 

 ryapyy,     where they landing chat?,        <Channel name: mongraal>,       2024-11-07 11:56:12.143460 

 ryapyy,     retail?,        <Channel name: mongraal>,       2024-11-07 11:56:19.621014 

 ryapyy,     @exodu3581 Yo,        <Channel name: mongraal>,       2024-11-07 11:56:55.678373 

 ryapyy,     Jesus Christ is my glorious king,        <Channel name: mongraal>,       2024-11-07 12:11:04.892867 

 ryapyy,     @theoneperson2087 Amen brother,        <Channel name: mongraal>,       2024-11-07 12:11:50.575106 

 ryapyy,     Jesus loves you all turn to him and repent before it’s too late,        <Channel name: kaicenat>,       2024-11-07 12:12:33.448158 

 ryapyy,     !lb,        <Channel name: mongraal>,       2024-11-07 12:38:15.778093 

 ryapyy,     !delay,        <Channel name: mongraal>,       2024-11-07 12:40:36.680806 

 ryapyy,     drop twi?,        <Channel name: mongraal>,       2024-11-07 13:06:36.402358 

 ryapyy,     !lb,        <Channel name: mongraal>,       2024-11-07 13:07:31.470411 

 ryapyy,     Should they drop twi?,        <Channel name: mongraal>,       2024-11-07 13:23:41.541395 

 ryapyy,     @itamari_ Ik ik,        <Channel name: mongraal>,       2024-11-07 13:25:09.165270 

 ryapyy,     He’s good but he’s not on savage or mongrals level in these lobbies,        <Channel name: mongraal>,       2024-11-07 13:26:20.382110 

 ryapyy,     Twi,        <Channel name: mongraal>,       2024-11-07 13:27:27.767910 

 ryapyy,     Change skins,        <Channel name: mongraal>,       2024-11-07 13:29:08.300479 

 ryapyy,     Wear travis,        <Channel name: mongraal>,       2024-11-07 13:29:31.717279 
