
 acecxrdz,     @Oatley how did ritual and reet go playing with you?,        <Channel name: mongraal>,       2024-11-07 09:28:33.506662 

 acecxrdz,     why did a mod delete my message when i asked?,        <Channel name: mongraal>,       2024-11-07 09:29:19.266881 

 acecxrdz,     @jlibaa what am i doing ?,        <Channel name: mongraal>,       2024-11-07 09:29:38.818560 

 acecxrdz,     @jlibaa  dont know what i did wrong? i just asked him how it went bc he said he qualled,        <Channel name: mongraal>,       2024-11-07 09:30:14.020691 

 acecxrdz,     @kingjalal06 only in oce but yea,        <Channel name: mongraal>,       2024-11-07 09:30:52.200378 

 acecxrdz,     @kingjalal06 did oatley get mad and rage or something? bc that understands why my messages got deleted when i asked,        <Channel name: mongraal>,       2024-11-07 09:31:59.189599 

 acecxrdz,     !wt,        <Channel name: mongraal>,       2024-11-07 10:05:11.175958 

 acecxrdz,     !delay,        <Channel name: mongraal>,       2024-11-07 12:18:38.642821 

 acecxrdz,     is it 6 games or 10 bc last szn finals were 10?,        <Channel name: mongraal>,       2024-11-07 12:19:28.369874 

 acecxrdz,     im assuming its 6 cuz set lobby?,        <Channel name: mongraal>,       2024-11-07 12:19:38.444149 

 acecxrdz,     thought u were landing lazy?,        <Channel name: mongraal>,       2024-11-07 13:36:21.336145 
