
 pentybeats,     fat good, carbs good, protein good,        <Channel name: robcdee>,       2024-11-07 02:31:18.814724 

 pentybeats,     @megchan_ no1ICANT (i don't know these sauces),        <Channel name: robcdee>,       2024-11-07 02:32:56.746037 

 pentybeats,     80s?,        <Channel name: robcdee>,       2024-11-07 02:36:48.483704 

 pentybeats,     gonna need those carbs to keep you full. gonna be a struggle LUL,        <Channel name: robcdee>,       2024-11-07 02:39:12.408728 

 pentybeats,     your scale weight may drop from weight water but fat % barely lowers from keto it's genuinely a fad,        <Channel name: robcdee>,       2024-11-07 02:49:42.045061 

 pentybeats,     pentybO7,        <Channel name: robcdee>,       2024-11-07 02:49:49.935207 

 pentybeats,     @neceros the important part is losing weight in a way that's comfortable and not miserable LUL just less in than out,        <Channel name: robcdee>,       2024-11-07 02:50:30.612954 

 pentybeats,     @neceros they gave you an over generalized statement unfortunately lol,        <Channel name: robcdee>,       2024-11-07 02:51:16.678745 

 pentybeats,     no1COMFY,        <Channel name: robcdee>,       2024-11-07 02:51:21.597621 

 pentybeats,     @prof_hubert_farnsworth :O you better now?,        <Channel name: robcdee>,       2024-11-07 02:52:29.307843 

 pentybeats,     @prof_hubert_farnsworth 10 years and just sorta monkaCough hope it keeps improving Pray,        <Channel name: robcdee>,       2024-11-07 02:52:55.119728 
