
 patrikt_xd,     can you turn tweee up ?,        <Channel name: mongraal>,       2024-11-07 12:07:37.681354 

 patrikt_xd,     now its twee not twi xD it sounds better,        <Channel name: mongraal>,       2024-11-07 12:09:05.798302 

 patrikt_xd,     @Jessnada his name is twi but mongraal calls him twee now everyone on twitter calls him twee,        <Channel name: mongraal>,       2024-11-07 12:10:52.363738 

 patrikt_xd,     @ryapyy amen brother,        <Channel name: mongraal>,       2024-11-07 12:11:25.692983 

 patrikt_xd,     Haahahahah,        <Channel name: mongraal>,       2024-11-07 12:13:17.062856 

 patrikt_xd,     mongraal tryna act nonchalant,        <Channel name: mongraal>,       2024-11-07 12:18:46.275639 

 patrikt_xd,     they geniunaly talk like a married couple him and savage,        <Channel name: mongraal>,       2024-11-07 12:20:01.840653 

 patrikt_xd,     stop being mean to my goat,        <Channel name: mongraal>,       2024-11-07 12:23:27.398170 

 patrikt_xd,     @Jessnada agree but glaze,        <Channel name: mongraal>,       2024-11-07 12:28:24.616787 

 patrikt_xd,     WWWWWWW,        <Channel name: mongraal>,       2024-11-07 12:30:19.159591 

 patrikt_xd,     LMAOOOO,        <Channel name: mongraal>,       2024-11-07 12:30:22.680744 

 patrikt_xd,     WWWWWWW,        <Channel name: mongraal>,       2024-11-07 12:30:25.292293 

 patrikt_xd,     LMAOOOOOOOOOO,        <Channel name: mongraal>,       2024-11-07 12:30:30.091902 

 patrikt_xd,     OUR LITTLE COMEDIAN,        <Channel name: mongraal>,       2024-11-07 12:45:46.680378 

 patrikt_xd,     @H49SS surge wasnt issue last game they got full griefed by getting keyed by vico etc,        <Channel name: mongraal>,       2024-11-07 13:29:50.517792 
