
 htwenty2,     when A boogie showing ??,        <Channel name: kaicenat>,       2024-11-07 01:45:57.139918 

 htwenty2,     wacky ahhh miles again,        <Channel name: kaicenat>,       2024-11-07 12:05:01.271998 

 htwenty2,     where the drummer,        <Channel name: kaicenat>,       2024-11-07 12:05:05.870412 

 htwenty2,     where’s the drummer bruh,        <Channel name: kaicenat>,       2024-11-07 12:05:12.938033 

 htwenty2,     wtf,        <Channel name: kaicenat>,       2024-11-07 12:05:14.748660 

 htwenty2,     tired of this guy,        <Channel name: kaicenat>,       2024-11-07 12:05:21.447192 

 htwenty2,     LLLL MILES,        <Channel name: kaicenat>,       2024-11-07 12:05:41.163922 

 htwenty2,     LLLLLLLLLLLLLLLLL,        <Channel name: kaicenat>,       2024-11-07 12:05:48.724083 

 htwenty2,     MILES HAVE NO HAIRLINE,        <Channel name: kaicenat>,       2024-11-07 12:06:10.393961 

 htwenty2,     YEA,        <Channel name: kaicenat>,       2024-11-07 12:06:29.880184 

 htwenty2,     BUILT LKKE A STICK,        <Channel name: kaicenat>,       2024-11-07 12:06:49.595486 
