
 euphoricyolk,     LOL WEIGHTED,        <Channel name: kaicenat>,       2024-11-07 01:22:03.852802 

 euphoricyolk,     YOU CAN HEAR IT IS UNBALANCED AND VISUALLY SEE IT WHEN IT SLOWS DOWN,        <Channel name: kaicenat>,       2024-11-07 01:34:49.016979 

 euphoricyolk,     HEAR THAT WARPED SOUND.......,        <Channel name: kaicenat>,       2024-11-07 01:36:38.485842 

 euphoricyolk,     HAHAAHAHAA,        <Channel name: kaicenat>,       2024-11-07 01:40:08.229835 

 euphoricyolk,     IT WAS AT THAT MOMENT HE REALIZED....HE WAS FUCKED.,        <Channel name: kaicenat>,       2024-11-07 01:40:21.121110 

 euphoricyolk,     45,        <Channel name: kaicenat>,       2024-11-07 01:43:21.931454 

 euphoricyolk,     45 seconds,        <Channel name: kaicenat>,       2024-11-07 01:43:27.668421 

 euphoricyolk,     45 SECONDS,        <Channel name: kaicenat>,       2024-11-07 01:44:58.333008 

 euphoricyolk,     POLL,        <Channel name: kaicenat>,       2024-11-07 01:45:04.318515 

 euphoricyolk,     GIVE THE MAN 30 SECONDS.....,        <Channel name: kaicenat>,       2024-11-07 01:48:06.267693 

 euphoricyolk,     225094,        <Channel name: kaicenat>,       2024-11-07 01:48:56.914763 

 euphoricyolk,     pound em out in 25's,        <Channel name: kaicenat>,       2024-11-07 01:52:31.703485 

 euphoricyolk,     CLICKER TRACKER,        <Channel name: kaicenat>,       2024-11-07 01:56:29.937747 

 euphoricyolk,     30,        <Channel name: kaicenat>,       2024-11-07 02:00:03.713088 

 euphoricyolk,     106 to go,        <Channel name: kaicenat>,       2024-11-07 02:02:26.097280 

 euphoricyolk,     HALF WAAAAAAYY,        <Channel name: kaicenat>,       2024-11-07 02:07:15.131318 
