
 xbreezzey,     hey stinky butt,        <Channel name: swagg>,       2024-11-07 10:12:34.788979 

 xbreezzey,     how’s the vibes going wante,        <Channel name: swagg>,       2024-11-07 10:13:00.617322 

 xbreezzey,     hey pookie @janiyamhh swegLove,        <Channel name: swagg>,       2024-11-07 10:13:12.934169 

 xbreezzey,     @adimonto i bought her Fortnite battle pass swegSideEye,        <Channel name: swagg>,       2024-11-07 10:13:51.200196 

 xbreezzey,     just lied btw,        <Channel name: swagg>,       2024-11-07 10:13:58.682202 

 xbreezzey,     @janiyamhh u got me with the black cell for battle pass right?,        <Channel name: swagg>,       2024-11-07 10:16:30.567489 

 xbreezzey,     im broke swag had me eating ice soup last night for dinner pooks,        <Channel name: swagg>,       2024-11-07 10:17:30.950648 

 xbreezzey,     @animekweenn u might be onto some that’s prolly gonna be tonight,        <Channel name: swagg>,       2024-11-07 10:18:18.739166 

 xbreezzey,     i think im almost done wit work swegDex swegDex swegDex,        <Channel name: swagg>,       2024-11-07 10:20:59.380281 

 xbreezzey,     what’s for breakfast pookie swegDexCutie,        <Channel name: swagg>,       2024-11-07 10:21:52.996062 

 xbreezzey,     Lante thinking he pookie wicked work,        <Channel name: swagg>,       2024-11-07 10:22:19.071690 

 xbreezzey,     swegSideEye,        <Channel name: swagg>,       2024-11-07 10:22:27.820188 

 xbreezzey,     nah gabe running a heli he need to be dropped spawn me in im good for the harps,        <Channel name: swagg>,       2024-11-07 10:23:29.329729 

 xbreezzey,     swegSideEye,        <Channel name: swagg>,       2024-11-07 10:23:42.661012 

 xbreezzey,     u diggin in him,        <Channel name: swagg>,       2024-11-07 10:25:23.780992 

 xbreezzey,     on the way back homeeeee,        <Channel name: swagg>,       2024-11-07 10:26:28.002882 

 xbreezzey,     heard freak who want me hateadHell,        <Channel name: swagg>,       2024-11-07 10:26:35.113655 

 xbreezzey,     now when i pull out the goonr clan tag imma be the bad person huh,        <Channel name: swagg>,       2024-11-07 10:27:02.328964 

 xbreezzey,     @janiyamhh u missed when me and steezy was talking bout the cuzzi it’s the method…,        <Channel name: swagg>,       2024-11-07 10:27:33.938533 

 xbreezzey,     @janiyamhh that’s my freak twinnn,        <Channel name: swagg>,       2024-11-07 10:27:46.930200 

 xbreezzey,     ong ill put goonr as my clan tag,        <Channel name: swagg>,       2024-11-07 10:28:20.336207 

 xbreezzey,     i had it in MW3 towards the end,        <Channel name: swagg>,       2024-11-07 10:28:33.838911 

 xbreezzey,     damn carti u done FAWKED up,        <Channel name: swagg>,       2024-11-07 10:29:23.083201 

 xbreezzey,     let me hold carti vip to feel sum niya swegSideEye,        <Channel name: swagg>,       2024-11-07 10:29:55.673386 

 xbreezzey,     oh imma start spamming that shit,        <Channel name: swagg>,       2024-11-07 10:30:30.949530 

 xbreezzey,     im sorry carti… ur vip gonna be safe wit me,        <Channel name: swagg>,       2024-11-07 10:30:54.819253 

 xbreezzey,     swegDexCutie,        <Channel name: swagg>,       2024-11-07 10:31:03.850228 

