
 mrmoneeey,     mrmoneyyyy,        <Channel name: kaicenat>,       2024-11-07 11:11:14.967385 

 mrmoneeey,     mrmoneeeeey,        <Channel name: kaicenat>,       2024-11-07 11:11:23.848433 

 mrmoneeey,     50!!!,        <Channel name: kaicenat>,       2024-11-07 12:44:50.290345 

 mrmoneeey,     SOMEONE DROP THE 100,        <Channel name: kaicenat>,       2024-11-07 12:45:15.576161 

 mrmoneeey,     EARTHQUAKE!!!!!!!!!!!!!!!!!!!!!!!,        <Channel name: kaicenat>,       2024-11-07 12:45:42.746597 

 mrmoneeey,     ROOF,        <Channel name: kaicenat>,       2024-11-07 12:46:10.411895 

 mrmoneeey,     aye teach me how to doggie,        <Channel name: kaicenat>,       2024-11-07 12:46:27.922133 

 mrmoneeey,     where’s the earthquake?,        <Channel name: kaicenat>,       2024-11-07 12:50:37.211011 

 mrmoneeey,     EARTHQUAKE!!,        <Channel name: kaicenat>,       2024-11-07 12:51:02.186977 

 mrmoneeey,     L no earthquake?,        <Channel name: kaicenat>,       2024-11-07 12:53:05.670484 

 mrmoneeey,     L no earthquake?,        <Channel name: kaicenat>,       2024-11-07 12:54:29.340647 

 mrmoneeey,     100 GIFTTTT,        <Channel name: kaicenat>,       2024-11-07 12:55:12.294952 

 mrmoneeey,     SAUCEEEEEEEE GARDNERRRRRE,        <Channel name: kaicenat>,       2024-11-07 13:00:55.423597 

 mrmoneeey,     SAUCEEEEEE WWWWWW,        <Channel name: kaicenat>,       2024-11-07 13:02:32.000549 
