
 charlieutd__,     Someone come and sleep with me I've been awake for longer than 2 hours today,        <Channel name: mongraal>,       2024-11-07 09:01:15.870123 

 charlieutd__,     GUYS IF YOU HEAR SOMEONE OPEN MONGRAALS DOOR AND ROB THE PLACE ITS ME,        <Channel name: mongraal>,       2024-11-07 09:02:40.274227 

 charlieutd__,     Just a heads up,        <Channel name: mongraal>,       2024-11-07 09:02:49.841272 

 charlieutd__,     Bros been away so long that sleep mode has kicked in,        <Channel name: mongraal>,       2024-11-07 09:03:47.270782 

 charlieutd__,     NOT AGAIN,        <Channel name: mongraal>,       2024-11-07 09:05:37.257472 

 charlieutd__,     Phew,        <Channel name: mongraal>,       2024-11-07 09:05:50.427418 

 charlieutd__,     WOAH THERES CHESTS THIS IS REVOLUTIONARY,        <Channel name: mongraal>,       2024-11-07 09:06:12.087442 

 charlieutd__,     @roko_2011 it's ok he didn't I was watching,        <Channel name: mongraal>,       2024-11-07 09:07:14.999692 

 charlieutd__,     mongaFlex1 PunchTrees mongaFlex3,        <Channel name: mongraal>,       2024-11-07 09:08:13.752230 

 charlieutd__,     @icyborys you still here I have no clue who you are btw,        <Channel name: mongraal>,       2024-11-07 09:09:37.052327 

 charlieutd__,     Well birthdays are every year mongraal,        <Channel name: mongraal>,       2024-11-07 09:10:10.362914 

 charlieutd__,     When was the last time mongraal played with mrsavage,        <Channel name: mongraal>,       2024-11-07 09:11:29.001625 

 charlieutd__,     I play fortnite,        <Channel name: mongraal>,       2024-11-07 09:12:09.007891 

 charlieutd__,     Who is mongraal,        <Channel name: mongraal>,       2024-11-07 09:13:51.276670 

 charlieutd__,     How much would you pay for your name just to be.  Mongraal,        <Channel name: mongraal>,       2024-11-07 09:15:09.362572 

 charlieutd__,     I AM PunchTrees,        <Channel name: mongraal>,       2024-11-07 09:22:14.167367 

 charlieutd__,     WWWWW,        <Channel name: mongraal>,       2024-11-07 09:35:59.468311 

 charlieutd__,     WWWWWWWWW,        <Channel name: mongraal>,       2024-11-07 09:36:07.062243 

 charlieutd__,     Only 20 why not 40,        <Channel name: mongraal>,       2024-11-07 09:36:23.121101 

