
 cazdew,     @jlibaa what he do,        <Channel name: mongraal>,       2024-11-07 09:29:54.301206 

 cazdew,     @abzzz011 it's his favorite number,        <Channel name: mongraal>,       2024-11-07 09:31:28.676272 

 cazdew,     Why don't you use the g502 @mongraal,        <Channel name: mongraal>,       2024-11-07 09:32:29.913323 

 cazdew,     @jlibaa no it's 5,        <Channel name: mongraal>,       2024-11-07 09:34:23.621456 

 cazdew,     @br0c72 shh,        <Channel name: mongraal>,       2024-11-07 09:34:31.907740 

 cazdew,     He's ending like Saturday morning,        <Channel name: mongraal>,       2024-11-07 09:35:20.729336 

 cazdew,     Play the pit,        <Channel name: mongraal>,       2024-11-07 09:35:56.976282 

 cazdew,     Play the pit please!!,        <Channel name: mongraal>,       2024-11-07 09:36:57.428084 

 cazdew,     Unique mode is fucking stupid,        <Channel name: mongraal>,       2024-11-07 09:38:39.076791 

 cazdew,     @lloydz cuz it won't let me say what I wanna say,        <Channel name: mongraal>,       2024-11-07 09:39:02.896770 

 cazdew,     Pit,        <Channel name: mongraal>,       2024-11-07 09:39:28.286305 

 cazdew,     The pit,        <Channel name: mongraal>,       2024-11-07 09:39:38.207232 

 cazdew,     Stupid mode,        <Channel name: mongraal>,       2024-11-07 09:39:58.589141 
