
 jeikostream,     on met combien de temps pour refaire un litre tonton ?,        <Channel name: tonton>,       2024-11-07 02:39:28.641442 

 jeikostream,     si c'est pas un poumon,        <Channel name: tonton>,       2024-11-07 02:41:31.213429 

 jeikostream,     bah si on greffe le cerveau on greffe la mémoire avec / la conscience de l'autre personne qui se forge avec la mémoire.,        <Channel name: tonton>,       2024-11-07 02:42:46.620984 

 jeikostream,     comme iron man quoi,        <Channel name: tonton>,       2024-11-07 02:46:15.288688 

 jeikostream,     ou alors il nous dit pas tout et il a fait une dinguerie,        <Channel name: tonton>,       2024-11-07 02:48:36.255631 

 jeikostream,     bah ça c'est arrangé du coté de la boite en tout cas,        <Channel name: tonton>,       2024-11-07 02:49:18.427525 

 jeikostream,     @Fonzy__17 ouai fallait prendre des douches avant d'aller au boulto,        <Channel name: tonton>,       2024-11-07 02:50:23.974832 

 jeikostream,     @willowliberty du coup tu te rince l'oeil chez tonton coquine XD,        <Channel name: tonton>,       2024-11-07 02:51:35.282388 

 jeikostream,     @willowliberty laisse les gosses en dehors de ça Hahhaa,        <Channel name: tonton>,       2024-11-07 02:53:04.654760 
