
 javimytwitch,     uuh,        <Channel name: lacy>,       2024-11-07 12:27:39.205408 

 javimytwitch,     SHOULF THESE THUGS BE AT SCHOOL,        <Channel name: lacy>,       2024-11-07 12:28:07.003868 

 javimytwitch,     NEW YORK SAID SCHOOL OPTIONAL LMAOO,        <Channel name: lacy>,       2024-11-07 12:29:52.477437 

 javimytwitch,     DIP DIP DIP,        <Channel name: lacy>,       2024-11-07 12:30:38.062055 

 javimytwitch,     LIT,        <Channel name: lacy>,       2024-11-07 12:57:11.834555 

 javimytwitch,     WW,        <Channel name: lacy>,       2024-11-07 12:57:34.944467 

 javimytwitch,     uub,        <Channel name: lacy>,       2024-11-07 12:59:05.263601 

 javimytwitch,     uuh,        <Channel name: lacy>,       2024-11-07 12:59:12.908139 

 javimytwitch,     Classic,        <Channel name: lacy>,       2024-11-07 12:59:36.407504 

 javimytwitch,     jorkin,        <Channel name: lacy>,       2024-11-07 13:01:38.939871 

 javimytwitch,     ome5,        <Channel name: lacy>,       2024-11-07 13:03:39.236356 
