
 futureretrofare,     ahahahahaha,        <Channel name: nadeshot>,       2024-11-07 09:36:58.296393 

 futureretrofare,     what is with these streamers on the front page that go flibbiddy coco taco micheal tyson,        <Channel name: nadeshot>,       2024-11-07 09:55:22.478035 

 futureretrofare,     he is having nightmares about waking up to more hours,        <Channel name: nadeshot>,       2024-11-07 09:56:27.111125 

 futureretrofare,     I can;t sleep with any part of my body exposed, I use my blanket as a kinda of extermal alarm.  If It moves I wake the fuck up,        <Channel name: nadeshot>,       2024-11-07 09:58:29.023978 

 futureretrofare,     I trust nothing,        <Channel name: nadeshot>,       2024-11-07 09:58:59.583037 

 futureretrofare,     I don't even trust the air,        <Channel name: nadeshot>,       2024-11-07 09:59:14.010486 

 futureretrofare,     sometimes I hold my breath when I'm sleeping and make the world test the air before I take another breath,        <Channel name: nadeshot>,       2024-11-07 09:59:55.903115 

 futureretrofare,     you never seen chernobyl,        <Channel name: nadeshot>,       2024-11-07 10:00:29.504050 

 futureretrofare,     it could happan again any minute,        <Channel name: nadeshot>,       2024-11-07 10:00:39.381118 

 futureretrofare,     I'm prepared to stop breathing at any moment,        <Channel name: nadeshot>,       2024-11-07 10:01:04.808702 

 futureretrofare,     PogChamp,        <Channel name: nadeshot>,       2024-11-07 10:01:12.157282 

 futureretrofare,     this streak might kill nade,        <Channel name: nadeshot>,       2024-11-07 10:02:11.137220 

 futureretrofare,     he is literally having nightmares and can't sleep,        <Channel name: nadeshot>,       2024-11-07 10:02:35.236294 

 futureretrofare,     If I was him I'd say screw you give me 3 more hours of nighty night,        <Channel name: nadeshot>,       2024-11-07 10:03:19.394213 

 futureretrofare,     LOL,        <Channel name: nadeshot>,       2024-11-07 10:03:30.026765 

 futureretrofare,     now thats real sleep not on that weird back shit,        <Channel name: nadeshot>,       2024-11-07 10:04:03.803506 

 futureretrofare,     Back sleep is for weirdos that want to put weight on their lungs,        <Channel name: nadeshot>,       2024-11-07 10:04:31.852519 

 futureretrofare,     its not healthy,        <Channel name: nadeshot>,       2024-11-07 10:04:50.795584 

 futureretrofare,     its snowing here in denver,        <Channel name: nadeshot>,       2024-11-07 10:05:46.131833 

 futureretrofare,     anyone else,        <Channel name: nadeshot>,       2024-11-07 10:05:49.984171 

 futureretrofare,     Snow weather is the best for sleepy time,        <Channel name: nadeshot>,       2024-11-07 10:06:17.711957 

 futureretrofare,     I remember when advanced warfared cameout I installed on a winter night to log in and do my very first yoututbe video,        <Channel name: nadeshot>,       2024-11-07 10:07:08.087020 

 futureretrofare,     and then I did montage videos,        <Channel name: nadeshot>,       2024-11-07 10:07:21.775148 

 futureretrofare,     OMG It was A cscshcrueeam dream,        <Channel name: nadeshot>,       2024-11-07 10:07:44.304918 

 futureretrofare,     I was cacaesxsaxshrullererruuuping all over myself,        <Channel name: nadeshot>,       2024-11-07 10:08:09.606178 

 futureretrofare,     quiting being a noob,        <Channel name: nadeshot>,       2024-11-07 10:08:36.467739 

 futureretrofare,     I got so drunk last night I'm waitng an hour for the liqour store to open again,        <Channel name: nadeshot>,       2024-11-07 10:09:55.154929 

 futureretrofare,     thats commitment,        <Channel name: nadeshot>,       2024-11-07 10:10:27.900233 

 futureretrofare,     nade wake up stop being a noob,        <Channel name: nadeshot>,       2024-11-07 10:11:00.141712 

 futureretrofare,     OMG With those subs,        <Channel name: nadeshot>,       2024-11-07 10:11:16.165546 

 futureretrofare,     Thanks for those subs,        <Channel name: nadeshot>,       2024-11-07 10:11:24.611377 

 futureretrofare,     On behalf,        <Channel name: nadeshot>,       2024-11-07 10:11:39.140424 

 futureretrofare,     He's gonna be pissed thatn the clock hasn't gone down,        <Channel name: nadeshot>,       2024-11-07 10:12:03.703276 

 futureretrofare,     Everytime he sleeps the clock goes up,        <Channel name: nadeshot>,       2024-11-07 10:12:34.594610 

 futureretrofare,     I bet he has nightmares of that subclock,        <Channel name: nadeshot>,       2024-11-07 10:13:04.274285 

 futureretrofare,     I would be in hell if I was him with this subathon,        <Channel name: nadeshot>,       2024-11-07 10:13:57.498131 

 futureretrofare,     he went to sleep about 4 hours ago,        <Channel name: nadeshot>,       2024-11-07 10:14:39.225022 

 futureretrofare,     IDK,        <Channel name: nadeshot>,       2024-11-07 10:14:54.065926 

 futureretrofare,     more sleep than me I'm restarting stream in 1 hour after the liquor store opens to grind my leaderboard,        <Channel name: nadeshot>,       2024-11-07 10:16:02.446300 

 futureretrofare,     better yet why not start it up now,        <Channel name: nadeshot>,       2024-11-07 10:16:31.010608 

 futureretrofare,     that way I can be done by noon,        <Channel name: nadeshot>,       2024-11-07 10:17:00.321847 

 futureretrofare,     back in the day I'd probably be top 20 but there's so many noobs that think they are good now,        <Channel name: nadeshot>,       2024-11-07 10:18:10.441790 

 futureretrofare,     stupid noobs,        <Channel name: nadeshot>,       2024-11-07 10:18:14.751873 

 futureretrofare,     they like to put turds on their face and call themselves auto von caca lips,        <Channel name: nadeshot>,       2024-11-07 10:18:37.536098 

 futureretrofare,     everyone on the leaderboard is an auto von caca lips besides me @waxpundit,        <Channel name: nadeshot>,       2024-11-07 10:19:57.436692 

 futureretrofare,     Ii'm the only one that matters on the leaderboard you see because I taught scump and nade shot everything they Know Kappa,        <Channel name: nadeshot>,       2024-11-07 10:20:42.161961 

 futureretrofare,     See nade agrees Kappa,        <Channel name: nadeshot>,       2024-11-07 10:21:09.578091 

 futureretrofare,     Nade doesn't get to get with his girl til the subathon is over either Kappa,        <Channel name: nadeshot>,       2024-11-07 10:22:36.194607 

