
 kumbeep123,     When I came out, I was probably around 10-13. I first came out as bisexual, which I was wrong, girls suck (not all girls), then came to terms with being transgender at the age of 13, though I had to hide it. Mom found out by looking through my messages. Even now as an FTM she still uses “god sees it as a sin.” I recently came out to most teachers and have a supportive teacher. Some still want to force me in the box/force me to come out in documents. I am proud to say that I’m gay.,        <Channel name: formal>,       2024-11-07 01:46:51.642337 

 kumbeep123,     so why would u ssay that,        <Channel name: formal>,       2024-11-07 01:48:38.044191 

 kumbeep123,     it snot,        <Channel name: formal>,       2024-11-07 01:48:49.312582 

 kumbeep123,     i typed it out,        <Channel name: formal>,       2024-11-07 01:48:55.259119 

 kumbeep123,     im happy,        <Channel name: formal>,       2024-11-07 01:48:57.707753 

 kumbeep123,     fk u then,        <Channel name: formal>,       2024-11-07 01:49:20.835985 

 kumbeep123,     @LazerPupper thx bro,        <Channel name: formal>,       2024-11-07 01:49:47.148564 

 kumbeep123,     @CRG_deacon why would i,        <Channel name: formal>,       2024-11-07 01:50:09.983442 

 kumbeep123,     do u have a problem whore,        <Channel name: formal>,       2024-11-07 01:50:29.869976 

 kumbeep123,     leave me alone,        <Channel name: formal>,       2024-11-07 01:50:42.371788 

 kumbeep123,     who r u,        <Channel name: formal>,       2024-11-07 01:50:54.239508 

 kumbeep123,     i recently came out,        <Channel name: caseoh_>,       2024-11-07 01:52:25.836845 
