
 kidnirvana90s,     I'll gift one if I was locked up DW about that,        <Channel name: nadeshot>,       2024-11-07 13:07:03.740684 

 kidnirvana90s,     Professional sleep artists,        <Channel name: nadeshot>,       2024-11-07 13:09:57.398957 

 kidnirvana90s,     Dick came through the bottom and out the lid,        <Channel name: nadeshot>,       2024-11-07 13:11:21.309939 

 kidnirvana90s,     Now it's sprayinh,        <Channel name: nadeshot>,       2024-11-07 13:11:59.085064 

 kidnirvana90s,     Mods,        <Channel name: nadeshot>,       2024-11-07 13:12:18.703894 

 kidnirvana90s,     Gonna need a clean UK a aisle 3,        <Channel name: nadeshot>,       2024-11-07 13:12:41.001784 

 kidnirvana90s,     Sorry I'm blind,        <Channel name: nadeshot>,       2024-11-07 13:13:49.164075 

 kidnirvana90s,     And old,        <Channel name: nadeshot>,       2024-11-07 13:13:53.811863 

 kidnirvana90s,     Almost as bad as you,        <Channel name: nadeshot>,       2024-11-07 13:14:15.221965 

 kidnirvana90s,     I mean js,        <Channel name: nadeshot>,       2024-11-07 13:14:30.432973 

 kidnirvana90s,     You have head lice if you voted Harry,        <Channel name: nadeshot>,       2024-11-07 13:15:15.386255 

 kidnirvana90s,     @tcg the ball was on the line,        <Channel name: nadeshot>,       2024-11-07 13:16:39.382929 

 kidnirvana90s,     Baby bottle,        <Channel name: nadeshot>,       2024-11-07 13:16:54.675178 

 kidnirvana90s,     Cant be serious,        <Channel name: nadeshot>,       2024-11-07 13:17:31.478275 

 kidnirvana90s,     scumpRat,        <Channel name: nadeshot>,       2024-11-07 13:18:24.239951 
